semicore,predict
Sn,Sn
Sn,Sn
Sn,Hg
Sn,Sn
Sn,Sn
Sn,Hg
Sn,Hg
Sn,Hg
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Hg
Sn,Sn
Sn,Sn
Sn,Hg
Sn,Sn
Sn,Sn
Sn,Sn
Sn,In
Sn,Sn
Sn,Hg
Sn,Sn
Sn,Sn
Sn,Hg
Sn,In
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Hg
Sn,Sn
Sn,Hg
Sn,Sn
Sn,Sn
Sn,Hg
Sn,Sn
Sn,Sn
Sn,Hg
Sn,Hg
Sn,Sn
Sn,Hg
Sn,Sn
Sn,Sn
Sn,Sn
Y,Nb
Y,Y
Y,Y
Y,Y
Y,Y
Y,Nb
Y,Nb
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Nb
Y,Y
Y,Y
Y,Y
Y,Nb
Y,Y
Y,Y
Y,Nb
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Nb
Y,Mo
Y,Y
Y,Mo
Y,Nb
Y,Y
Y,Nb
Y,Y
Y,Y
Y,Nb
Y,Y
Y,Mo
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Nb
Tl,Pb
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Pb
Tl,Tl
Tl,Pb
Tl,Pb
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Bi
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Pb
Tl,Tl
Tl,Pb
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Pb
Tl,Pb
Tl,Tl
Tl,Tl
Tl,Pb
Tl,Bi
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Pb
Tl,Pb
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Pb
Sc,Hf
Sc,Hf
Sc,Sc
Sc,Hf
Sc,Sc
Sc,Hf
Sc,Hf
Sc,Hf
Sc,Sc
Sc,Sc
Sc,Hf
Sc,Sc
Sc,Hf
Sc,Hf
Sc,Sc
Sc,Hf
Sc,Sc
Sc,Hf
Sc,Hf
Sc,Sc
Sc,Hf
Sc,Sc
Sc,Hf
Sc,Sc
Sc,Hf
Sc,Hf
Sc,Hf
Sc,Hf
Sc,Hf
Sc,Hf
Sc,Hf
Sc,Hf
Sc,Hf
Sc,Hf
Sc,Hf
Sc,Hf
Sc,Sc
Sc,Sc
Sc,Hf
Sc,Hf
Sc,Hf
Sc,Hf
Sc,Sc
Sc,Sc
Sc,Hf
Sc,Hf
Sc,Hf
Sc,Sc
Sc,Hf
Sc,Hf
Pb,Tl
Pb,Bi
Pb,Pb
Pb,Pb
Pb,Tl
Pb,Tl
Pb,Pb
Pb,Pb
Pb,Tl
Pb,Pb
Pb,Pb
Pb,Tl
Pb,Pb
Pb,Tl
Pb,Pb
Pb,Tl
Pb,Pb
Pb,Tl
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Tl
Pb,Tl
Pb,Tl
Pb,Pb
Pb,Pb
Pb,Bi
Pb,Tl
Pb,Tl
Pb,Pb
Pb,Pb
Pb,Tl
Pb,Pb
Pb,Tl
Pb,Tl
Pb,Tl
Pb,Pb
Pb,Tl
Pb,Pb
Pb,Pb
Pb,Tl
Pb,Pb
Pb,Bi
Pb,Pb
Pb,Tl
Pb,Tl
Pb,Pb
Bi,Tl
Bi,Bi
Bi,Bi
Bi,Tl
Bi,Pb
Bi,Tl
Bi,Bi
Bi,In
Bi,Tl
Bi,Tl
Bi,Tl
Bi,Tl
Bi,Bi
Bi,Pb
Bi,Tl
Bi,Tl
Bi,Bi
Bi,Tl
Bi,Tl
Bi,Pb
Bi,Bi
Bi,Tl
Bi,Bi
Bi,Bi
Bi,Tl
Bi,Tl
Bi,Tl
Bi,Bi
Bi,Tl
Bi,Tl
Bi,Tl
Bi,In
Bi,Tl
Bi,Bi
Bi,Tl
Bi,Tl
Bi,Tl
Bi,Tl
Bi,Tl
Bi,Bi
Bi,Bi
Bi,Tl
Bi,Tl
Bi,Tl
Bi,Pb
Bi,Tl
Bi,Pb
Bi,Tl
Bi,Tl
Bi,Tl
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Sc
Zr,Sc
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Sc
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Sc
Zr,Hf
Zr,Hf
Zr,Sc
Zr,Hf
Zr,Sc
Zr,Hf
Zr,Hf
Zr,Sc
Zr,Sc
Zr,Hf
Zr,Hf
Zr,Sc
Zr,Nb
Zr,Sc
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Zr,Hf
Hg,Sn
Hg,Hg
Hg,Hg
Hg,Sn
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Mo
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Mo
Hg,Sn
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Sn
Hg,Sn
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Sn
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Sn
Hg,Hg
Hg,Mo
Hg,Sn
Hg,Sn
Hg,Hg
Hg,Hg
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Sc
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Nb
Hf,Sc
Hf,Hf
Hf,Sc
Hf,Hf
Hf,Sc
Hf,Hf
Hf,Nb
Hf,Hf
Hf,Nb
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Nb
Hf,Sc
Hf,Hf
Hf,Sc
Hf,Hf
Hf,Sc
Hf,Hf
Hf,Sc
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Sc
Hf,Hf
Hf,Sc
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Sc
Hf,Sc
Hf,Hf
Hf,Hf
Hf,Nb
Hf,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Y
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Sc
Nb,Nb
Nb,Y
Nb,Nb
Nb,Y
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Sc
Nb,Nb
Nb,Mo
Nb,Y
Nb,Y
Nb,Y
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Sc
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Y
Nb,Y
Nb,Nb
Nb,Hf
Nb,Y
Nb,Mo
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
