semicore,semicorep
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Sn,Sn
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Nb
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Nb
Y,Nb
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Nb
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Tl,Tl
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Sc,Sc
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Tl
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Pb
Pb,Tl
Pb,Pb
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
Bi,Bi
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
In,In
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Zr,Sc
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Mo
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Mo
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Mo
Hg,Hg
Hg,Hg
Hg,Hg
Hg,Hg
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Sc
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Sc
Hf,Hf
Hf,Hf
Hf,Hf
Hf,Hf
Nb,Nb
Nb,Y
Nb,Y
Nb,Y
Nb,Nb
Nb,Nb
Nb,Hf
Nb,Hf
Nb,Hf
Nb,Y
Nb,Hf
Nb,Hf
Nb,Y
Nb,Nb
Nb,Y
Nb,Y
Nb,Y
Nb,Hf
Nb,Y
Nb,Hf
Nb,Hf
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Y
Nb,Y
Nb,Nb
Nb,Y
Nb,Hf
Nb,Hf
Nb,Hf
Nb,Y
Nb,Hf
Nb,Nb
Nb,Y
Nb,Nb
Nb,Hf
Nb,Sc
Nb,Nb
Nb,Nb
Nb,Y
Nb,Sc
Nb,Y
Nb,Y
Nb,Nb
